pubid,gender97,ethnic97,hh18_97,psmoke97
834,1,Non-Hispanic,3,1
835,2,Non-Hispanic,2,2
836,1,Non-Hispanic,1,2
837,1,Non-Hispanic,3,2
838,2,Non-Hispanic,3,1
839,2,Non-Hispanic,2,1
840,2,Non-Hispanic,2,1
841,2,Non-Hispanic,2,2
842,1,Non-Hispanic,2,1
843,1,Non-Hispanic,1,2
844,2,Non-Hispanic,1,1
845,1,Non-Hispanic,1,3
846,2,Hispanic,1,2
847,1,Non-Hispanic,4,3
848,2,Non-Hispanic,4,1
849,2,Non-Hispanic,2,5
850,2,Non-Hispanic,2,4
851,2,Non-Hispanic,4,2
852,1,Non-Hispanic,4,2
853,2,Non-Hispanic,4,3
854,2,Non-Hispanic,3,1
855,2,Non-Hispanic,2,3
856,1,Non-Hispanic,2,2
857,2,Non-Hispanic,2,2
858,2,Non-Hispanic,2,1
859,1,Non-Hispanic,2,1
860,1,Non-Hispanic,3,2
861,1,Non-Hispanic,3,1
862,2,Non-Hispanic,3,4
863,2,Non-Hispanic,3,2
864,2,Non-Hispanic,1,5
865,1,Non-Hispanic,1,1
866,1,Non-Hispanic,2,3
867,1,Non-Hispanic,2,2
868,2,Non-Hispanic,1,4
