iv,ec,caseid,south,dem,te,cut_hi,_st,_d,_t,_t0
.73000002,.090218,203,1,1,61,0,1,0,61,53
.69999999,.37081999,2700,0,1,66,0,1,0,66,65
.75,.15660501,3005,0,0,65,0,1,0,65,53
.70999998,.34486401,1204,0,1,53,0,1,0,53,26
.68000001,.41878,1904,0,1,78,0,1,0,78,65
.74000001,.178396,1704,0,0,26,0,1,0,26,0
.68000001,.41659299,1904,0,1,86,0,1,0,86,78
.66000003,.37691101,3713,0,0,68,0,1,0,68,65
.75,.150079,3005,0,0,53,0,1,0,53,26
.83999997,.014765,1805,0,1,62,1,1,1,62,53
.69,.18275,3905,1,1,26,0,1,0,26,0
.67000002,.142535,4222,1,0,63,0,1,0,63,53
.69,.18203799,3905,1,1,76,0,1,0,76,65
.72000003,.312893,1903,0,1,85,0,1,0,85,78
.69999999,.27229899,3011,0,0,70,0,1,0,70,65
.72000003,.31151199,2108,0,1,65,0,1,0,65,53
.63,.240659,3901,1,0,53,0,1,0,53,26
.77999997,.161569,3714,0,1,72,0,1,0,72,65
.76999998,.186226,3010,0,1,65,0,1,0,65,53
.73000002,.285427,3103,0,1,64,0,1,0,64,53
.74000001,.169717,4504,0,0,53,0,1,0,53,26
.74000001,.166192,4609,0,0,26,0,1,0,26,0
.73000002,.072089002,203,1,1,53,0,1,0,53,26
.81999999,.052728999,3420,0,1,71,0,1,0,71,61
.70999998,.32576799,2304,0,1,65,0,1,0,65,53
.77999997,.15001801,3714,0,1,53,0,1,0,53,26
.77999997,.149974,3714,0,1,65,0,1,0,65,53
.69,.37395999,3601,0,1,53,0,1,0,53,26
.74000001,.15779001,3321,0,0,26,0,1,0,26,0
.74000001,.157272,4504,0,0,26,0,1,0,26,0
.73000002,.27162299,3103,0,1,53,0,1,0,53,26
.73000002,.271272,3506,0,1,53,0,1,0,53,26
.72000003,.29502901,2108,0,1,53,0,1,0,53,26
.81,.068177998,3409,0,1,71,0,1,0,71,65
.70999998,.31724399,2304,0,1,53,0,1,0,53,26
.73000002,.177442,1406,0,0,26,0,1,0,26,0
.81999999,.039048001,3420,0,1,53,0,1,0,53,26
.70999998,.016827,913,1,0,26,0,1,0,26,0
.74000001,.147815,3321,0,0,53,0,1,0,53,26
.67000002,.11613,4222,1,0,53,0,1,0,53,26
.68000001,.090327002,4410,1,0,65,0,1,0,65,53
.64999998,.16496401,2609,1,0,65,0,1,0,65,53
.72000003,.19549701,1506,0,0,35,0,1,0,35,26
.73000002,.259904,3506,0,1,26,0,1,0,26,0
.74000001,.144705,3321,0,0,65,0,1,0,65,53
.66000003,.342801,706,0,0,78,0,1,0,78,65
.73000002,.25601101,506,0,1,26,0,1,0,26,0
.72000003,.189518,2105,0,0,26,0,1,0,26,0
.70999998,.303606,1204,0,1,26,0,1,0,26,0
.69,.26134601,4608,0,0,35,1,1,1,35,26
