id,hrs1,wrkslf,age,educ,paeduc,maeduc,sex,polviews,sei,pasei,masei
282,70,self-employed,33,20,,13,female,slightly liberal,97.199997,,27.700001
283,55,someone else,47,16,14,12,female,,38,36.5,38.900002
284,18,someone else,49,18,16,11,male,liberal,80.900002,37.400002,38.900002
285,38,someone else,58,10,,,female,,33.099998,,
286,,someone else,42,18,14,12,female,,86.5,54.900002,38.400002
287,50,someone else,40,19,14,12,male,liberal,78.5,58.099998,38.900002
288,30,someone else,43,16,12,13,female,slightly liberal,78.5,53.700001,60.599998
289,45,someone else,48,17,13,13,female,,61.900002,50.5,38.5
290,40,someone else,48,6,0,2,female,conservative,25.200001,37.299999,
291,40,self-employed,42,14,,12,female,moderate,64.199997,,
292,55,someone else,29,13,12,12,male,,38.400002,63.5,36.900002
293,40,someone else,26,15,17,16,male,,26.6,63.5,36.700001
294,,someone else,76,15,7,12,male,moderate,35.400002,44.200001,27.5
295,,someone else,32,12,15,14,female,liberal,57.099998,92.800003,
296,,someone else,63,18,14,14,male,slghtly conservative,61.900002,52.5,38.400002
297,45,someone else,46,13,12,12,female,,61.900002,45.900002,29.799999
298,48,self-employed,41,13,12,12,female,,26.4,73.300003,63.200001
299,,someone else,29,14,14,11,male,moderate,39,28,
300,36,someone else,58,14,13,12,female,,63.5,44.400002,
301,31,someone else,42,14,11,12,female,,63.5,63.5,
302,60,someone else,49,14,12,,female,,51,44.700001,
303,,someone else,70,13,8,8,male,moderate,34.200001,28.6,
304,,someone else,66,16,9,10,male,slghtly conservative,86.599998,48.5,26.700001
305,,someone else,43,15,14,12,female,,39.599998,37.299999,
306,49,someone else,37,12,,11,male,,39,,35.200001
307,,someone else,58,12,,8,female,,38.400002,,32.400002
308,34,someone else,23,12,12,12,female,conservative,38.900002,34.200001,28.4
309,40,someone else,48,18,17,15,female,slghtly conservative,80.300003,65.199997,73.199997
310,15,someone else,44,12,12,12,female,,37.400002,48.5,
311,40,someone else,45,14,13,12,female,,86.599998,76.400002,38.400002
312,50,someone else,44,12,12,11,male,moderate,31.5,52.400002,
313,38,someone else,27,16,13,12,female,slghtly conservative,76.400002,44.700001,
314,,someone else,72,16,6,6,male,moderate,31.200001,27.700001,
315,,self-employed,76,14,8,8,female,slghtly conservative,26.4,31.5,
316,,self-employed,68,18,20,12,male,slightly liberal,38.900002,92.300003,
317,50,someone else,47,16,,18,male,,72.5,,97.199997
318,,someone else,75,12,16,11,female,moderate,36.5,53.400002,
319,89,someone else,28,18,20,16,male,,50.700001,97.199997,64.199997
320,60,someone else,51,17,20,16,male,liberal,72.5,69.699997,63.5
321,42,someone else,30,18,14,14,male,moderate,75.199997,63.5,71.599998
322,13,someone else,38,16,,6,female,slghtly conservative,38.400002,,21.200001
323,40,someone else,33,12,3,16,male,,97.199997,30.1,74.400002
324,40,someone else,34,12,,,female,,42.299999,,
325,40,someone else,27,12,3,6,female,slightly liberal,36.5,26.5,26.700001
326,,someone else,53,16,14,16,female,,88.800003,50.700001,73.199997
327,40,someone else,40,12,20,19,female,liberal,38.5,62.5,92.300003
328,,someone else,74,12,6,12,female,,41.599998,29.799999,
329,20,someone else,19,12,14,14,female,liberal,33.099998,37.599998,73.199997
330,40,someone else,33,16,16,6,male,,62.5,47.900002,28.4
331,48,self-employed,29,16,12,12,male,,63.5,31.299999,
332,40,someone else,26,15,,18,male,extremely liberal,69.199997,,83.699997
333,,someone else,23,14,13,12,female,liberal,33.099998,63.5,38.400002
334,36,someone else,56,16,12,12,male,slightly liberal,38.200001,73.300003,34.599998
335,45,someone else,40,18,12,13,female,,80.900002,64.099998,
336,40,someone else,55,14,14,13,male,,50.700001,65.800003,
337,55,someone else,35,14,,18,male,slightly liberal,62.5,,78.5
338,45,someone else,33,16,,12,male,moderate,50.700001,,56.599998
339,40,someone else,37,20,16,18,female,moderate,86.800003,86,78.5
340,40,someone else,65,19,6,7,male,conservative,97.199997,63.5,
341,32,self-employed,45,16,20,14,female,slghtly conservative,63.5,93.300003,38.400002
342,10,someone else,28,11,,,female,,52.5,,
343,43,someone else,24,16,,20,male,,72.5,,80.300003
344,40,someone else,32,16,16,12,female,slightly liberal,64.099998,76.400002,64.099998
345,40,someone else,47,15,1,1,female,,21.200001,52.299999,
346,55,someone else,61,8,,12,male,,85.099998,,38.400002
347,,self-employed,52,5,,,female,conservative,25.5,,
348,,someone else,24,13,12,12,female,extremely liberal,68.099998,63.5,38.900002
349,40,someone else,30,17,12,12,male,slghtly conservative,37.700001,63.5,68.099998
350,45,someone else,33,14,,,male,,76.400002,,
351,,,49,12,12,12,male,,,48.5,
352,,self-employed,49,9,,5,female,,38.400002,34.200001,50.700001
353,40,someone else,35,16,16,16,male,,73.699997,69.699997,
354,45,someone else,37,14,20,16,female,liberal,38,97.199997,73.199997
355,20,someone else,22,13,,9,female,,40.200001,,22.5
356,32,someone else,49,12,,12,female,,22.5,,25.5
357,,someone else,27,13,12,13,female,,32.400002,64.099998,37.400002
358,40,someone else,26,12,0,6,female,moderate,37.700001,31.4,28.4
359,,someone else,51,2,,,female,liberal,26.700001,,
360,33,someone else,59,14,4,12,female,moderate,59.900002,32.700001,
361,,someone else,60,13,12,13,female,,36.5,48.900002,
362,,someone else,38,16,17,14,female,,84.699997,73.300003,68.099998
363,40,someone else,40,16,16,15,male,conservative,64,80,
364,25,someone else,42,14,9,1,female,,38.400002,28,28.4
365,40,someone else,47,14,12,14,female,conservative,63.5,59.299999,
366,89,someone else,44,17,16,17,male,slghtly conservative,52.400002,76.400002,80.300003
367,28,someone else,47,12,8,8,female,,29,38.200001,29.299999
368,,self-employed,70,18,,,male,,63.5,,
369,,someone else,75,17,,14,male,liberal,83.900002,,56.5
370,,someone else,87,18,8,12,male,slghtly conservative,63.200001,37.299999,78.5
371,,someone else,71,16,8,10,male,,80,,38.900002
372,48,someone else,48,15,12,9,female,,38.900002,38.200001,25.5
373,,someone else,46,16,17,16,female,conservative,73.300003,80.300003,80.300003
374,40,someone else,22,12,12,16,male,,63.5,63.5,73.199997
375,20,self-employed,62,19,16,15,male,,83.699997,69.699997,78.5
376,,someone else,23,16,12,12,female,,38.900002,34.200001,26.700001
377,,someone else,57,14,,3,male,moderate,62.200001,,26.5
378,40,someone else,36,12,5,7,male,,26.700001,26.5,
379,,,21,14,14,16,male,,,73.300003,
380,40,self-employed,66,12,12,10,male,moderate,38.400002,31.5,26.700001
381,20,someone else,23,12,,,female,slghtly conservative,29,,
382,40,self-employed,30,15,2,4,female,,30.799999,38.799999,
383,,someone else,89,14,,14,female,,64.400002,,27.5
384,50,someone else,32,16,12,,male,conservative,63.5,63.5,
385,40,someone else,46,15,12,12,male,moderate,32.299999,26.700001,28.4
386,40,someone else,46,12,9,12,female,moderate,33.099998,38.799999,
387,38,someone else,32,12,,12,male,moderate,63.5,,68.099998
388,40,someone else,35,20,18,14,female,slightly liberal,87,78.5,38.400002
389,,someone else,65,8,,,male,,28.4,,
390,,someone else,37,11,12,12,male,,36.5,50.700001,
391,40,self-employed,31,9,6,6,female,,22.5,37.299999,
392,,someone else,67,12,5,12,female,conservative,42.200001,37.299999,
393,40,someone else,35,11,,,male,,36.5,,27.5
394,,someone else,70,14,,6,male,,28.4,,
395,,someone else,84,12,13,3,male,extrmly conservative,63.5,64.099998,
396,30,someone else,39,12,12,12,male,,37.599998,64.199997,32.400002
397,,someone else,43,13,12,,male,conservative,69.199997,26.700001,
398,40,someone else,36,12,,,male,moderate,35.099998,,
399,60,someone else,55,14,8,12,male,,64.099998,35.400002,22.5
