year,id,wrkstat,hrs1,marital,sex,pres00,pres04,polviews,happy,health,abany,premarsx,pornlaw
2006,2544,WORKING FULLTIME,45,MARRIED,MALE,BUSH,BUSH,EXTRMLY CONSERVATIVE,VERY HAPPY,EXCELLENT,NO,,ILLEGAL UNDER 18
2006,2545,WORKING FULLTIME,50,SEPARATED,MALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,EXCELLENT,NO,,ILLEGAL UNDER 18
2006,2546,WORKING FULLTIME,50,MARRIED,FEMALE,GORE,BUSH,SLIGHTLY LIBERAL,PRETTY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,2547,WORKING FULLTIME,50,DIVORCED,MALE,,BUSH,CONSERVATIVE,,GOOD,,,
2006,2548,WORKING FULLTIME,30,NEVER MARRIED,MALE,,BUSH,CONSERVATIVE,PRETTY HAPPY,FAIR,YES,,ILLEGAL UNDER 18
2006,2549,WORKING FULLTIME,40,MARRIED,MALE,,,,PRETTY HAPPY,GOOD,,ALMST ALWAYS WRG,
2006,2550,RETIRED,,WIDOWED,FEMALE,,KERRY,MODERATE,PRETTY HAPPY,FAIR,NO,ALWAYS WRONG,
2006,2551,WORKING FULLTIME,27,DIVORCED,FEMALE,GORE,KERRY,SLGHTLY CONSERVATIVE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL TO ALL
2006,2552,WORKING PARTTIME,30,SEPARATED,MALE,,,SLIGHTLY LIBERAL,NOT TOO HAPPY,FAIR,NO,,ILLEGAL UNDER 18
2006,2553,RETIRED,,DIVORCED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,NOT TOO HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2554,RETIRED,,WIDOWED,FEMALE,BUSH,BUSH,MODERATE,VERY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,2555,WORKING FULLTIME,50,MARRIED,MALE,,,CONSERVATIVE,PRETTY HAPPY,EXCELLENT,NO,,ILLEGAL UNDER 18
2006,2556,WORKING FULLTIME,40,MARRIED,MALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2557,SCHOOL,,NEVER MARRIED,FEMALE,,,SLGHTLY CONSERVATIVE,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2558,"UNEMPL, LAID OFF",,NEVER MARRIED,MALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,EXCELLENT,NO,ALWAYS WRONG,
2006,2559,WORKING FULLTIME,20,WIDOWED,MALE,,,MODERATE,PRETTY HAPPY,FAIR,,SOMETIMES WRONG,
2006,2560,RETIRED,,WIDOWED,FEMALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,2561,WORKING FULLTIME,50,MARRIED,MALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL UNDER 18
2006,2562,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,VERY HAPPY,EXCELLENT,NO,,ILLEGAL UNDER 18
2006,2563,WORKING FULLTIME,50,MARRIED,FEMALE,,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,GOOD,YES,NOT WRONG AT ALL,
2006,2564,WORKING FULLTIME,43,NEVER MARRIED,FEMALE,,BUSH,MODERATE,,GOOD,,,
2006,2565,WORKING FULLTIME,37,MARRIED,FEMALE,,BUSH,MODERATE,PRETTY HAPPY,GOOD,NO,NOT WRONG AT ALL,
2006,2566,RETIRED,,MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2567,RETIRED,,MARRIED,MALE,,BUSH,MODERATE,,GOOD,,,
2006,2568,RETIRED,,MARRIED,MALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,GOOD,NO,,ILLEGAL TO ALL
2006,2569,WORKING FULLTIME,75,NEVER MARRIED,FEMALE,OTHER (SPECIFY),KERRY,LIBERAL,VERY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,2570,WORKING FULLTIME,78,MARRIED,MALE,,BUSH,SLIGHTLY LIBERAL,,GOOD,,,
2006,2571,SCHOOL,,NEVER MARRIED,MALE,BUSH,,EXTRMLY CONSERVATIVE,PRETTY HAPPY,,,ALWAYS WRONG,LEGAL
2006,2572,WORKING FULLTIME,89,DIVORCED,FEMALE,,,SLIGHTLY LIBERAL,NOT TOO HAPPY,FAIR,NO,ALWAYS WRONG,
2006,2573,TEMP NOT WORKING,,WIDOWED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,2574,"UNEMPL, LAID OFF",,NEVER MARRIED,MALE,,,LIBERAL,,GOOD,,,
2006,2575,WORKING FULLTIME,55,MARRIED,MALE,,,MODERATE,VERY HAPPY,GOOD,NO,SOMETIMES WRONG,
2006,2576,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,GOOD,YES,ALWAYS WRONG,
2006,2577,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,2578,WORKING FULLTIME,60,DIVORCED,MALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,EXCELLENT,YES,NOT WRONG AT ALL,
2006,2579,WORKING PARTTIME,20,NEVER MARRIED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,VERY HAPPY,EXCELLENT,NO,NOT WRONG AT ALL,
2006,2580,SCHOOL,,MARRIED,FEMALE,GORE,KERRY,EXTREMELY LIBERAL,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2581,OTHER,,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,FAIR,,,
2006,2582,WORKING FULLTIME,50,NEVER MARRIED,MALE,,,,VERY HAPPY,EXCELLENT,NO,,ILLEGAL UNDER 18
2006,2583,SCHOOL,,NEVER MARRIED,FEMALE,GORE,,LIBERAL,VERY HAPPY,POOR,,NOT WRONG AT ALL,
2006,2584,"UNEMPL, LAID OFF",,DIVORCED,MALE,,,LIBERAL,,POOR,,,
2006,2585,KEEPING HOUSE,,WIDOWED,FEMALE,,,EXTREMELY LIBERAL,VERY HAPPY,GOOD,YES,,ILLEGAL TO ALL
2006,2586,RETIRED,,WIDOWED,FEMALE,,KERRY,SLIGHTLY LIBERAL,,POOR,,,
2006,2587,WORKING FULLTIME,40,DIVORCED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,VERY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,2588,WORKING FULLTIME,40,NEVER MARRIED,MALE,,KERRY,SLIGHTLY LIBERAL,,EXCELLENT,,,
2006,2589,WORKING PARTTIME,14,MARRIED,MALE,,KERRY,SLIGHTLY LIBERAL,,GOOD,,,
2006,2590,RETIRED,,MARRIED,FEMALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,GOOD,YES,,ILLEGAL TO ALL
2006,2591,WORKING FULLTIME,65,MARRIED,MALE,,,,NOT TOO HAPPY,,,,
2006,2592,KEEPING HOUSE,,MARRIED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,2593,SCHOOL,,NEVER MARRIED,MALE,BUSH,,MODERATE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,2594,,,NEVER MARRIED,MALE,,,SLGHTLY CONSERVATIVE,PRETTY HAPPY,GOOD,NO,,
2006,2595,WORKING PARTTIME,20,WIDOWED,FEMALE,,BUSH,SLGHTLY CONSERVATIVE,,EXCELLENT,,,
2006,2596,WORKING FULLTIME,80,NEVER MARRIED,MALE,,BUSH,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,2597,WORKING FULLTIME,50,NEVER MARRIED,MALE,,KERRY,LIBERAL,,EXCELLENT,,,
2006,2598,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,SLIGHTLY LIBERAL,,EXCELLENT,,,
2006,2599,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,2600,WORKING FULLTIME,45,NEVER MARRIED,FEMALE,GORE,KERRY,LIBERAL,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,2601,WORKING FULLTIME,40,NEVER MARRIED,MALE,,KERRY,LIBERAL,,POOR,,,
2006,2602,KEEPING HOUSE,,MARRIED,FEMALE,BUSH,BUSH,MODERATE,NOT TOO HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,2603,KEEPING HOUSE,,MARRIED,FEMALE,,KERRY,SLIGHTLY LIBERAL,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL UNDER 18
